time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2023-08-24T12:35:35.200Z,62.4487639,7.6903345,1544.405,1.51,-1.42,1.06,1.099,1.619,0.45,0.0,0.0,0.0,27
2023-08-24T12:35:35.400Z,62.4487681,7.6903276,1544.18,2.96,-2.12,1.61,1.109,1.626,0.53,0.0,0.0,0.0,27
2023-08-24T12:35:35.600Z,62.4487736,7.6903181,1543.653,3.34,-2.89,3.56,1.121,1.633,0.45,0.0,0.0,0.0,27
2023-08-24T12:35:35.800Z,62.4487798,7.6903071,1542.779,3.67,-2.95,5.28,1.131,1.64,0.39,0.0,0.0,0.0,27
2023-08-24T12:35:36.000Z,62.4487853,7.6902975,1541.416,3.01,-2.33,7.58,1.141,1.646,0.36,0.0,0.0,0.0,27
2023-08-24T12:35:36.200Z,62.4487904,7.6902888,1539.732,2.88,-2.35,9.22,1.153,1.654,0.36,0.0,0.0,0.0,27
2023-08-24T12:35:36.400Z,62.4487955,7.6902803,1537.616,3.05,-2.26,11.27,1.164,1.662,0.37,0.0,0.0,0.0,27
2023-08-24T12:35:36.600Z,62.4488011,7.6902712,1535.176,3.37,-2.61,12.97,1.173,1.672,0.38,0.0,0.0,0.0,27
2023-08-24T12:35:36.800Z,62.4488067,7.6902618,1532.32,3.17,-2.56,15.09,1.17,1.66,0.32,0.0,0.0,0.0,26
2023-08-24T12:35:37.000Z,62.4488122,7.6902528,1529.204,3.53,-2.71,16.68,1.156,1.653,0.32,0.0,0.0,0.0,27
2023-08-24T12:35:37.200Z,62.4488184,7.6902423,1525.739,3.51,-2.77,18.25,1.143,1.648,0.32,0.0,0.0,0.0,28
2023-08-24T12:35:37.400Z,62.4488253,7.6902302,1521.985,4.03,-3.27,19.47,1.13,1.642,0.33,0.0,0.0,0.0,28
2023-08-24T12:35:37.600Z,62.4488328,7.6902157,1517.908,4.4,-4.05,20.77,1.117,1.632,0.3,0.0,0.0,0.0,28
2023-08-24T12:35:37.800Z,62.448841,7.6901983,1513.619,4.86,-4.88,21.87,1.104,1.625,0.3,0.0,0.0,0.0,28
2023-08-24T12:35:38.000Z,62.4488501,7.6901772,1509.096,5.41,-5.93,22.82,1.093,1.619,0.29,0.0,0.0,0.0,28
2023-08-24T12:35:38.200Z,62.4488603,7.6901517,1504.409,5.77,-6.91,23.65,1.082,1.615,0.31,0.0,0.0,0.0,28
2023-08-24T12:35:38.400Z,62.4488714,7.6901215,1499.613,6.29,-8.23,24.3,1.072,1.613,0.32,0.0,0.0,0.0,28
2023-08-24T12:35:38.600Z,62.4488834,7.6900866,1494.655,6.67,-9.31,25.13,1.06,1.609,0.32,0.0,0.0,0.0,28
2023-08-24T12:35:38.800Z,62.4488961,7.6900474,1489.567,7.07,-10.52,25.7,1.051,1.606,0.32,0.0,0.0,0.0,28
2023-08-24T12:35:39.000Z,62.4489091,7.6900037,1484.363,7.33,-11.82,26.18,1.04,1.602,0.33,0.0,0.0,0.0,28
2023-08-24T12:35:39.200Z,62.4489226,7.689955,1479.075,7.57,-13.12,26.76,1.031,1.599,0.33,0.0,0.0,0.0,25
2023-08-24T12:35:39.400Z,62.4489363,7.6899016,1473.689,7.88,-14.43,27.12,1.021,1.594,0.32,0.0,0.0,0.0,25
2023-08-24T12:35:39.600Z,62.4489504,7.6898432,1468.176,8.04,-15.75,27.68,1.011,1.589,0.32,0.0,0.0,0.0,25
2023-08-24T12:35:39.800Z,62.4489649,7.6897789,1462.621,7.95,-17.22,27.86,1.003,1.583,0.32,0.0,0.0,0.0,24
