time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-09-20T10:27:46.60Z,46.0139281,11.5468756,1893.27,3.46,-2.03,1.2,0.979,1.302,0.2,1.99676,3.0,328.86689,18
2024-09-20T10:27:46.80Z,46.0139349,11.5468694,1892.978,4.09,-2.81,1.42,0.977,1.301,0.2,1.67579,3.0,326.70478,18
2024-09-20T10:27:47.00Z,46.0139418,11.5468629,1892.359,3.64,-2.25,4.53,0.976,1.3,0.24,1.87214,3.0,327.52959,18
2024-09-20T10:27:47.20Z,46.0139478,11.5468574,1891.223,3.18,-2.11,6.23,0.974,1.3,0.27,2.16283,3.0,326.96091,18
2024-09-20T10:27:47.40Z,46.0139537,11.5468518,1889.792,3.27,-2.17,7.99,0.971,1.298,0.26,2.09503,3.0,326.51456,18
2024-09-20T10:27:47.60Z,46.0139597,11.5468459,1887.947,3.39,-2.27,9.88,0.969,1.295,0.25,1.85592,3.0,326.14551,18
2024-09-20T10:27:47.80Z,46.013966,11.54684,1885.785,3.6,-2.18,11.59,0.967,1.291,0.24,1.84605,3.0,328.88391,18
2024-09-20T10:27:48.00Z,46.0139727,11.546834,1883.274,3.77,-2.41,13.34,0.965,1.29,0.28,1.8717,3.0,327.47046,18
2024-09-20T10:27:48.20Z,46.0139795,11.5468279,1880.378,3.76,-2.31,15.49,0.964,1.288,0.28,2.13449,3.0,328.39017,18
2024-09-20T10:27:48.40Z,46.0139866,11.5468218,1877.178,4.24,-2.34,16.63,0.964,1.287,0.31,2.23719,3.0,331.16484,18
2024-09-20T10:27:48.60Z,46.0139946,11.5468156,1873.641,4.48,-2.53,18.4,0.966,1.286,0.29,2.07262,3.0,330.5644,18
2024-09-20T10:27:48.80Z,46.0140031,11.5468089,1869.785,5.13,-2.71,20.0,0.967,1.282,0.27,1.77626,3.0,332.10815,18
2024-09-20T10:27:49.00Z,46.0140129,11.5468017,1865.629,5.77,-2.93,21.27,0.968,1.281,0.28,1.77596,3.0,333.0844,18
2024-09-20T10:27:49.20Z,46.014024,11.5467939,1861.225,6.65,-3.09,22.51,0.969,1.281,0.3,1.6845,3.0,335.04662,18
2024-09-20T10:27:49.40Z,46.0140369,11.5467859,1856.632,7.68,-3.07,23.52,0.971,1.282,0.28,1.44519,3.0,338.21507,17
2024-09-20T10:27:49.60Z,46.0140518,11.5467778,1851.884,8.75,-3.15,24.45,0.974,1.282,0.28,1.20498,3.0,340.19094,17
2024-09-20T10:27:49.80Z,46.0140688,11.5467698,1846.999,10.02,-2.94,24.96,0.976,1.284,0.29,1.05607,3.0,343.65454,17
2024-09-20T10:27:50.00Z,46.014088,11.5467622,1841.97,11.39,-2.9,25.67,0.978,1.286,0.29,0.93578,3.0,345.6912,17
2024-09-20T10:27:50.20Z,46.0141097,11.5467549,1836.816,12.71,-2.62,26.25,0.98,1.288,0.28,0.82456,3.0,348.36922,17
2024-09-20T10:27:50.40Z,46.0141338,11.5467486,1831.561,14.04,-2.13,26.54,0.981,1.29,0.27,0.73589,3.0,351.37362,17
2024-09-20T10:27:50.60Z,46.0141603,11.5467435,1826.265,15.48,-1.72,26.79,0.982,1.292,0.27,0.67068,3.0,353.66885,17
2024-09-20T10:27:50.80Z,46.0141894,11.5467399,1820.911,16.7,-1.1,27.05,0.982,1.294,0.26,0.59868,3.0,356.22051,17
