time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2024-10-01T10:24:36.20Z,47.4427472,11.0133049,2257.582,1.13,0.0,1.24,2.022,3.498,0.7,30.43399,3.0,355.12162,16
2024-10-01T10:24:36.40Z,47.4427491,11.0133025,2257.66,1.08,-0.91,0.9,2.028,3.504,0.53,20.69849,3.0,331.01913,16
2024-10-01T10:24:36.60Z,47.4427531,11.0133006,2257.157,3.26,-0.19,2.43,2.031,3.502,0.58,8.11332,3.0,353.30112,16
2024-10-01T10:24:36.80Z,47.4427585,11.0132984,2256.522,2.89,-0.53,4.2,2.034,3.501,0.63,9.1819,3.0,351.68609,16
2024-10-01T10:24:37.00Z,47.4427648,11.0132957,2255.581,3.81,-0.49,6.17,2.036,3.499,0.6,7.37932,3.0,352.29987,16
2024-10-01T10:24:37.20Z,47.4427724,11.0132923,2254.05,4.63,-1.3,8.18,2.037,3.498,0.55,4.67188,3.0,344.31258,16
2024-10-01T10:24:37.40Z,47.4427803,11.0132885,2251.998,4.48,-1.3,10.37,2.035,3.499,0.59,4.56635,3.0,343.85436,16
2024-10-01T10:24:37.60Z,47.4427878,11.0132853,2249.436,4.17,-1.11,12.36,2.033,3.495,0.56,4.68031,3.0,345.1448,16
2024-10-01T10:24:37.80Z,47.4427953,11.0132828,2246.58,4.34,-0.66,14.11,2.032,3.489,0.54,5.14378,3.0,351.37668,16
2024-10-01T10:24:38.00Z,47.4428026,11.0132808,2243.34,4.01,-0.71,16.05,2.031,3.49,0.56,5.73465,3.0,349.94059,16
2024-10-01T10:24:38.20Z,47.4428102,11.0132794,2239.809,4.46,-0.32,17.45,2.031,3.497,0.59,5.73819,3.0,355.89888,16
2024-10-01T10:24:38.40Z,47.4428184,11.0132783,2235.847,4.82,-0.43,19.23,2.032,3.506,0.61,5.36916,3.0,354.89737,16
2024-10-01T10:24:38.60Z,47.4428272,11.013277,2231.359,5.27,-0.57,21.2,2.033,3.513,0.59,4.81946,3.0,353.8743,16
2024-10-01T10:24:38.80Z,47.442837,11.0132752,2226.625,5.89,-0.84,22.72,2.034,3.52,0.6,4.07076,3.0,351.86952,16
2024-10-01T10:24:39.00Z,47.442848,11.0132729,2221.59,6.69,-1.05,24.12,2.035,3.52,0.58,3.50723,3.0,351.10436,16
2024-10-01T10:24:39.20Z,47.442861,11.0132704,2216.289,8.0,-1.06,25.43,2.035,3.516,0.6,3.06433,3.0,352.46752,15
2024-10-01T10:24:39.40Z,47.4428762,11.0132671,2210.976,9.1,-1.48,26.31,2.035,3.519,0.65,2.84682,3.0,350.77854,15
2024-10-01T10:24:39.60Z,47.4428937,11.0132626,2205.633,10.52,-1.45,27.18,2.035,3.521,0.59,2.25672,3.0,352.16621,13
2024-10-01T10:24:39.80Z,47.4429136,11.0132579,2200.206,11.77,-1.41,27.86,2.033,3.522,0.58,1.87727,3.0,353.18924,13
2024-10-01T10:24:40.00Z,47.4429355,11.0132533,2194.624,12.83,-1.5,28.5,2.032,3.523,0.57,1.70682,3.0,353.34438,13
2024-10-01T10:24:40.20Z,47.4429598,11.0132483,2188.98,14.22,-1.58,29.12,2.031,3.523,0.57,1.54614,3.0,353.6439,12
2024-10-01T10:24:40.40Z,47.4429862,11.0132434,2183.127,15.41,-1.62,29.58,2.031,3.524,0.59,1.47309,3.0,354.00765,12
2024-10-01T10:24:40.60Z,47.4430149,11.0132385,2177.16,16.57,-1.74,29.94,2.035,3.522,0.6,1.39481,3.0,353.99853,12
2024-10-01T10:24:40.80Z,47.4430461,11.0132333,2171.171,18.12,-1.85,30.05,2.041,3.517,0.59,1.33629,3.0,354.1604,12
2024-10-01T10:24:41.00Z,47.4430798,11.0132279,2165.111,19.38,-2.05,30.16,2.048,3.51,0.6,1.25547,3.0,353.97232,12
2024-10-01T10:24:41.20Z,47.4431159,11.0132222,2159.02,20.73,-1.92,30.48,2.054,3.499,0.55,1.14813,3.0,354.69465,12
2024-10-01T10:24:41.40Z,47.4431547,11.0132165,2153.013,22.15,-1.86,30.64,2.055,3.486,0.5,1.04436,3.0,355.18973,12
2024-10-01T10:24:41.60Z,47.4431955,11.0132115,2146.922,23.48,-1.61,30.46,2.054,3.469,0.49,0.96523,3.0,356.06933,12
2024-10-01T10:24:41.80Z,47.4432383,11.0132071,2140.755,24.43,-1.37,30.66,2.052,3.452,0.49,0.86416,3.0,356.77884,11
2024-10-01T10:24:42.00Z,47.4432833,11.0132033,2134.56,25.85,-1.09,30.79,2.048,3.432,0.44,0.7701,3.0,357.58512,11
2024-10-01T10:24:42.20Z,47.4433306,11.0132006,2128.41,26.91,-0.66,30.76,2.044,3.417,0.44,0.74325,3.0,358.5953,11
2024-10-01T10:24:42.40Z,47.4433801,11.0131992,2122.291,28.36,-0.17,30.4,2.041,3.409,0.46,0.71001,3.0,359.65041,11
2024-10-01T10:24:42.60Z,47.4434319,11.0131991,2116.212,29.3,0.38,30.32,2.037,3.401,0.45,0.65593,3.0,0.734,11
2024-10-01T10:24:42.80Z,47.4434855,11.0132006,2110.175,30.37,0.92,30.24,2.032,3.395,0.45,0.62579,3.0,1.73197,11
2024-10-01T10:24:43.00Z,47.4435409,11.013204,2104.083,31.42,1.47,30.04,2.026,3.387,0.45,0.55304,3.0,2.67701,11
2024-10-01T10:24:43.20Z,47.4435981,11.0132088,2098.106,32.32,2.13,29.58,2.02,3.379,0.44,0.54249,3.0,3.77326,11
2024-10-01T10:24:43.40Z,47.4436572,11.0132156,2092.24,33.43,2.86,28.82,2.014,3.369,0.43,0.52849,3.0,4.89186,11
2024-10-01T10:24:43.60Z,47.443718,11.0132245,2086.5,34.46,3.74,27.84,2.008,3.358,0.42,0.43863,3.0,6.195,11
2024-10-01T10:24:43.80Z,47.4437805,11.0132358,2080.955,35.11,4.67,27.29,2.0,3.345,0.41,0.42147,3.0,7.57289,11
2024-10-01T10:24:44.00Z,47.4438442,11.0132494,2075.597,35.97,5.63,26.24,1.993,3.336,0.41,0.43822,3.0,8.88866,11
2024-10-01T10:24:44.20Z,47.4439092,11.0132657,2070.394,36.58,6.63,25.23,1.986,3.323,0.41,0.43441,3.0,10.26885,11
2024-10-01T10:24:44.40Z,47.4439752,11.0132846,2065.347,37.15,7.49,24.48,1.979,3.31,0.39,0.42174,3.0,11.40028,11
2024-10-01T10:24:44.60Z,47.4440422,11.0133057,2060.399,37.52,8.23,24.14,1.973,3.296,0.38,0.4215,3.0,12.36693,11
2024-10-01T10:24:44.80Z,47.4441099,11.0133288,2055.599,38.07,8.88,22.95,1.966,3.28,0.38,0.4335,3.0,13.13425,11
2024-10-01T10:24:45.00Z,47.4441784,11.0133535,2050.94,38.46,9.49,22.26,1.96,3.264,0.37,0.44467,3.0,13.8563,11
2024-10-01T10:24:45.20Z,47.4442477,11.0133798,2046.407,38.87,9.99,21.68,1.955,3.254,0.39,0.47237,3.0,14.42034,11
2024-10-01T10:24:45.40Z,47.4443177,11.0134071,2041.944,39.22,10.33,21.75,1.95,3.247,0.4,0.48612,3.0,14.76102,11
2024-10-01T10:24:45.60Z,47.4443887,11.013435,2037.602,39.82,10.58,21.4,1.948,3.242,0.4,0.53246,3.0,14.87715,11
2024-10-01T10:24:45.80Z,47.4444603,11.0134634,2033.361,40.01,10.88,21.22,1.945,3.234,0.4,0.54516,3.0,15.20849,11
2024-10-01T10:24:46.00Z,47.4445324,11.0134925,2029.139,40.46,11.02,20.74,1.943,3.226,0.45,0.53045,3.0,15.23891,11
2024-10-01T10:24:46.20Z,47.4446054,11.0135218,2025.048,40.81,11.12,20.4,1.942,3.218,0.46,0.52724,3.0,15.23928,11
2024-10-01T10:24:46.40Z,47.4446789,11.0135513,2021.008,41.06,11.14,20.25,1.941,3.21,0.46,0.52425,3.0,15.17523,11
2024-10-01T10:24:46.60Z,47.4447529,11.013581,2016.939,41.32,11.14,20.08,1.94,3.203,0.46,0.52092,3.0,15.08485,11
2024-10-01T10:24:46.80Z,47.4448271,11.0136106,2012.931,41.51,11.18,19.71,1.939,3.196,0.46,0.51916,3.0,15.08021,11
2024-10-01T10:24:47.00Z,47.4449017,11.0136405,2008.914,41.65,11.33,19.82,1.938,3.189,0.46,0.51759,3.0,15.2162,11
2024-10-01T10:24:47.20Z,47.4449765,11.0136708,2004.872,41.83,11.44,19.91,1.938,3.182,0.46,0.5148,3.0,15.29781,11
2024-10-01T10:24:47.40Z,47.4450518,11.0137012,2000.828,42.0,11.52,20.1,1.937,3.175,0.46,0.50357,3.0,15.33897,11
2024-10-01T10:24:47.60Z,47.4451273,11.013732,1996.81,42.23,11.68,19.73,1.936,3.165,0.45,0.50431,3.0,15.46175,11
2024-10-01T10:24:47.80Z,47.4452032,11.0137633,1992.867,42.44,11.83,19.34,1.935,3.155,0.44,0.50161,3.0,15.57007,11
2024-10-01T10:24:48.00Z,47.4452794,11.0137954,1989.062,42.58,12.23,18.51,1.934,3.15,0.45,0.50265,3.0,16.02468,11
2024-10-01T10:24:48.20Z,47.4453557,11.0138289,1985.425,42.49,12.86,17.68,1.933,3.144,0.44,0.47618,3.0,16.83139,11
2024-10-01T10:24:48.40Z,47.4454321,11.013864,1981.925,42.58,13.47,17.28,1.931,3.137,0.44,0.45702,3.0,17.55455,11
2024-10-01T10:24:48.60Z,47.4455082,11.0139007,1978.448,42.32,14.06,17.26,1.928,3.129,0.41,0.42712,3.0,18.3807,11
2024-10-01T10:24:48.80Z,47.445584,11.0139389,1974.971,42.05,14.58,17.58,1.923,3.117,0.36,0.39287,3.0,19.12217,12
2024-10-01T10:24:49.00Z,47.4456595,11.0139784,1971.411,42.04,15.13,17.92,1.918,3.105,0.35,0.37767,3.0,19.78942,12
2024-10-01T10:24:49.20Z,47.4457347,11.0140194,1967.785,41.82,15.64,17.99,1.912,3.094,0.34,0.37859,3.0,20.5006,12
2024-10-01T10:24:49.40Z,47.4458097,11.0140617,1964.166,41.67,16.17,18.1,1.908,3.085,0.45,0.45332,3.0,21.20766,12
2024-10-01T10:24:49.60Z,47.4458846,11.0141051,1960.526,41.72,16.52,18.07,1.904,3.075,0.38,0.4399,3.0,21.59976,12
2024-10-01T10:24:49.80Z,47.4459594,11.0141495,1956.876,41.68,16.83,17.97,1.901,3.066,0.37,0.44046,3.0,21.98356,12
2024-10-01T10:24:50.00Z,47.4460343,11.0141944,1953.236,41.78,17.01,18.1,1.897,3.059,0.38,0.45026,3.0,22.14605,12
2024-10-01T10:24:50.20Z,47.4461093,11.0142398,1949.574,41.73,17.2,18.08,1.894,3.052,0.38,0.46968,3.0,22.39568,12
2024-10-01T10:24:50.40Z,47.4461845,11.0142855,1945.967,41.87,17.34,17.73,1.891,3.046,0.39,0.4686,3.0,22.49573,12
2024-10-01T10:24:50.60Z,47.4462599,11.0143315,1942.423,41.97,17.3,17.41,1.889,3.041,0.44,0.46945,3.0,22.39577,12
2024-10-01T10:24:50.80Z,47.4463354,11.0143773,1938.904,41.99,17.28,17.31,1.888,3.037,0.45,0.48702,3.0,22.36388,12
2024-10-01T10:24:51.00Z,47.4464111,11.0144229,1935.449,42.27,17.09,17.03,1.887,3.033,0.46,0.49705,3.0,22.01485,12
2024-10-01T10:24:51.20Z,47.4464872,11.0144679,1932.02,42.35,16.85,17.0,1.887,3.029,0.43,0.4974,3.0,21.70136,12
2024-10-01T10:24:51.40Z,47.4465634,11.0145124,1928.56,42.35,16.81,17.34,1.885,3.027,0.44,0.49973,3.0,21.64781,12
2024-10-01T10:24:51.60Z,47.4466396,11.0145569,1925.021,42.45,16.75,17.78,1.885,3.027,0.45,0.50575,3.0,21.53886,12
2024-10-01T10:24:51.80Z,47.4467159,11.0146009,1921.516,42.56,16.47,17.51,1.884,3.022,0.43,0.49592,3.0,21.15897,13
2024-10-01T10:24:52.00Z,47.4467924,11.014644,1918.087,42.7,16.12,17.15,1.883,3.017,0.42,0.48786,3.0,20.68407,13
2024-10-01T10:24:52.20Z,47.4468694,11.0146865,1914.695,42.99,15.97,17.05,1.881,3.012,0.42,0.49107,3.0,20.37638,13
2024-10-01T10:24:52.40Z,47.4469465,11.0147286,1911.244,42.87,15.89,17.58,1.881,3.011,0.43,0.49318,3.0,20.33825,13
2024-10-01T10:24:52.60Z,47.4470235,11.0147706,1907.674,42.87,15.79,18.23,1.879,3.008,0.42,0.46482,3.0,20.21771,13
2024-10-01T10:24:52.80Z,47.4471006,11.0148123,1903.972,42.96,15.74,18.74,1.878,3.005,0.42,0.45288,3.0,20.11671,13
2024-10-01T10:24:53.00Z,47.4471777,11.014854,1900.237,43.04,15.64,18.58,1.875,3.0,0.42,0.45209,3.0,19.96516,13
2024-10-01T10:24:53.20Z,47.447255,11.0148955,1896.511,43.1,15.63,18.61,1.873,2.994,0.38,0.45797,3.0,19.93627,13
2024-10-01T10:24:53.40Z,47.4473324,11.014937,1892.752,43.25,15.62,18.67,1.871,2.988,0.42,0.46395,3.0,19.85359,13
2024-10-01T10:24:53.60Z,47.44741,11.0149785,1889.011,43.25,15.68,18.6,1.869,2.983,0.47,0.46372,3.0,19.93176,13
2024-10-01T10:24:53.80Z,47.4474877,11.0150203,1885.221,43.32,15.79,19.05,1.868,2.975,0.39,0.46337,3.0,20.03165,13
2024-10-01T10:24:54.00Z,47.4475656,11.0150621,1881.413,43.43,15.71,18.8,1.865,2.968,0.38,0.46202,3.0,19.88257,13
2024-10-01T10:24:54.20Z,47.4476437,11.0151038,1877.672,43.65,15.71,18.28,1.863,2.96,0.42,0.45938,3.0,19.79538,13
2024-10-01T10:24:54.40Z,47.4477223,11.0151453,1874.079,43.84,15.62,17.87,1.861,2.952,0.41,0.44121,3.0,19.61411,13
2024-10-01T10:24:54.60Z,47.4478011,11.0151869,1870.526,43.91,15.7,17.48,1.859,2.946,0.42,0.45574,3.0,19.67439,13
2024-10-01T10:24:54.80Z,47.44788,11.0152284,1867.018,43.92,15.62,17.53,1.857,2.939,0.41,0.44047,3.0,19.58362,13
2024-10-01T10:24:55.00Z,47.4479589,11.01527,1863.532,43.97,15.73,17.26,1.855,2.931,0.41,0.44054,3.0,19.68046,13
2024-10-01T10:24:55.20Z,47.4480379,11.0153118,1860.178,44.0,15.71,16.5,1.853,2.923,0.42,0.44837,3.0,19.6468,13
2024-10-01T10:24:55.40Z,47.4481169,11.0153537,1856.891,43.99,15.81,16.18,1.85,2.914,0.41,0.41718,3.0,19.77249,13
2024-10-01T10:24:55.60Z,47.4481959,11.0153957,1853.653,43.91,15.89,16.18,1.847,2.904,0.4,0.41666,3.0,19.89273,13
2024-10-01T10:24:55.80Z,47.4482747,11.0154378,1850.416,43.83,15.87,16.27,1.845,2.896,0.41,0.42878,3.0,19.90241,13
2024-10-01T10:24:56.00Z,47.4483535,11.0154799,1847.155,43.8,15.94,16.44,1.842,2.887,0.4,0.4159,3.0,20.00278,13
2024-10-01T10:24:56.20Z,47.4484321,11.0155223,1843.823,43.66,16.03,16.67,1.839,2.878,0.4,0.40723,3.0,20.15461,13
2024-10-01T10:24:56.40Z,47.4485106,11.0155648,1840.453,43.61,16.03,16.86,1.836,2.87,0.4,0.4139,3.0,20.18031,13
2024-10-01T10:24:56.60Z,47.4485889,11.0156074,1837.055,43.5,16.07,17.16,1.833,2.862,0.4,0.41269,3.0,20.27426,13
2024-10-01T10:24:56.80Z,47.448667,11.0156502,1833.611,43.43,16.19,17.21,1.83,2.856,0.4,0.4149,3.0,20.44633,13
2024-10-01T10:24:57.00Z,47.448745,11.0156932,1830.136,43.4,16.27,17.45,1.828,2.851,0.4,0.40967,3.0,20.55042,13
2024-10-01T10:24:57.20Z,47.448823,11.0157364,1826.632,43.32,16.31,17.73,1.825,2.847,0.39,0.41598,3.0,20.6275,13
2024-10-01T10:24:57.40Z,47.4489008,11.0157796,1823.089,43.32,16.26,17.6,1.822,2.84,0.36,0.40558,3.0,20.57226,12
2024-10-01T10:24:57.60Z,47.4489784,11.0158227,1819.519,43.19,16.25,17.91,1.819,2.835,0.37,0.40918,3.0,20.6231,12
2024-10-01T10:24:57.80Z,47.4490561,11.0158658,1815.909,43.19,16.23,18.15,1.816,2.831,0.37,0.42004,3.0,20.59243,12
2024-10-01T10:24:58.00Z,47.4491336,11.0159088,1812.236,43.25,16.09,18.05,1.813,2.826,0.37,0.42019,3.0,20.40613,12
2024-10-01T10:24:58.20Z,47.4492112,11.0159514,1808.614,43.26,16.02,18.01,1.811,2.822,0.37,0.42668,3.0,20.32421,12
2024-10-01T10:24:58.40Z,47.449289,11.0159936,1805.012,43.28,15.82,18.16,1.808,2.817,0.37,0.4274,3.0,20.07717,12
2024-10-01T10:24:58.60Z,47.4493668,11.0160354,1801.369,43.43,15.67,18.05,1.806,2.814,0.38,0.4417,3.0,19.83612,13
2024-10-01T10:24:58.80Z,47.4494449,11.0160765,1797.76,43.55,15.3,17.85,1.804,2.81,0.38,0.44106,3.0,19.35615,13
2024-10-01T10:24:59.00Z,47.4495232,11.0161165,1794.186,43.69,14.82,17.77,1.802,2.808,0.38,0.44645,3.0,18.73883,13
2024-10-01T10:24:59.20Z,47.4496019,11.0161552,1790.676,43.85,14.48,17.66,1.801,2.805,0.39,0.44593,3.0,18.27039,13
2024-10-01T10:24:59.40Z,47.449681,11.0161931,1787.16,44.04,14.15,17.69,1.8,2.807,0.39,0.47842,3.0,17.81668,13
2024-10-01T10:24:59.60Z,47.4497601,11.0162303,1783.55,44.0,13.96,18.09,1.801,2.811,0.45,0.47207,3.0,17.59995,13
2024-10-01T10:24:59.80Z,47.4498391,11.0162672,1779.854,43.9,13.87,18.53,1.801,2.816,0.39,0.46102,3.0,17.53303,13
2024-10-01T10:25:00.00Z,47.449918,11.0163039,1776.139,43.87,13.83,18.59,1.8,2.818,0.39,0.46135,3.0,17.4954,13
2024-10-01T10:25:00.20Z,47.4499969,11.0163405,1772.455,44.03,13.74,18.17,1.799,2.813,0.38,0.45503,3.0,17.32968,13
2024-10-01T10:25:00.40Z,47.450076,11.0163772,1768.792,44.05,13.83,17.87,1.797,2.805,0.38,0.43204,3.0,17.4333,13
2024-10-01T10:25:00.60Z,47.450155,11.0164139,1765.186,43.99,13.84,17.82,1.795,2.797,0.34,0.41229,3.0,17.46978,13
2024-10-01T10:25:00.80Z,47.4502341,11.0164506,1761.62,44.2,13.74,17.45,1.793,2.789,0.41,0.43738,3.0,17.27282,14
2024-10-01T10:25:01.00Z,47.4503134,11.0164872,1758.064,44.16,13.78,17.61,1.791,2.782,0.38,0.42923,3.0,17.33635,14
2024-10-01T10:25:01.20Z,47.4503929,11.0165235,1754.482,44.2,13.72,18.24,1.79,2.78,0.39,0.43975,3.0,17.24258,14
2024-10-01T10:25:01.40Z,47.4504724,11.0165598,1750.817,44.18,13.72,18.43,1.789,2.779,0.39,0.43984,3.0,17.25925,14
2024-10-01T10:25:01.60Z,47.4505515,11.0165962,1747.017,44.01,13.67,18.72,1.787,2.777,0.38,0.44566,3.0,17.24858,14
2024-10-01T10:25:01.80Z,47.4506307,11.0166325,1743.271,44.09,13.79,18.66,1.786,2.772,0.38,0.42739,3.0,17.37149,14
2024-10-01T10:25:02.00Z,47.4507099,11.0166692,1739.532,44.04,13.94,18.76,1.784,2.77,0.38,0.44114,3.0,17.56419,14
2024-10-01T10:25:02.20Z,47.4507889,11.0167062,1735.693,43.85,13.94,19.2,1.783,2.769,0.38,0.443,3.0,17.63722,14
2024-10-01T10:25:02.40Z,47.4508678,11.0167433,1731.913,44.09,14.07,18.59,1.781,2.764,0.38,0.44487,3.0,17.69959,14
2024-10-01T10:25:02.60Z,47.4509471,11.0167809,1728.219,44.18,14.15,17.94,1.779,2.757,0.38,0.4413,3.0,17.76325,14
2024-10-01T10:25:02.80Z,47.4510263,11.0168188,1724.618,44.15,14.3,17.49,1.778,2.75,0.38,0.44191,3.0,17.94833,14
2024-10-01T10:25:03.00Z,47.4511056,11.0168567,1721.122,44.16,14.34,17.42,1.776,2.746,0.38,0.44173,3.0,17.99523,14
2024-10-01T10:25:03.20Z,47.451185,11.0168948,1717.664,44.24,14.36,17.18,1.775,2.741,0.38,0.44183,3.0,17.97981,13
2024-10-01T10:25:03.40Z,47.4512645,11.0169326,1714.246,44.21,14.21,17.09,1.774,2.737,0.38,0.44361,3.0,17.81516,14
2024-10-01T10:25:03.60Z,47.4513439,11.0169702,1710.858,44.21,14.14,16.79,1.773,2.733,0.38,0.44218,3.0,17.7349,14
2024-10-01T10:25:03.80Z,47.4514233,11.0170076,1707.52,44.23,14.08,16.56,1.772,2.728,0.38,0.44198,3.0,17.66236,14
2024-10-01T10:25:04.00Z,47.4515028,11.0170448,1704.194,44.27,13.93,16.47,1.77,2.724,0.39,0.43846,3.0,17.46603,14
2024-10-01T10:25:04.20Z,47.4515824,11.0170814,1700.939,44.35,13.76,16.1,1.769,2.719,0.39,0.46272,3.0,17.2325,14
2024-10-01T10:25:04.40Z,47.451662,11.0171179,1697.718,44.32,13.69,15.86,1.768,2.714,0.39,0.45153,3.0,17.1622,14
2024-10-01T10:25:04.60Z,47.4517413,11.0171544,1694.459,44.21,13.58,15.53,1.766,2.708,0.39,0.44517,3.0,17.0781,15
2024-10-01T10:25:04.80Z,47.4518207,11.0171905,1691.246,44.12,13.62,16.0,1.765,2.707,0.39,0.44957,3.0,17.15392,15
2024-10-01T10:25:05.00Z,47.4518999,11.0172266,1687.886,44.0,13.6,17.0,1.764,2.71,0.42,0.44348,3.0,17.1773,14
2024-10-01T10:25:05.20Z,47.4519791,11.0172624,1684.55,44.25,13.32,16.21,1.764,2.706,0.42,0.4469,3.0,16.75025,15
2024-10-01T10:25:05.40Z,47.4520584,11.0172978,1681.298,44.19,13.28,15.84,1.763,2.701,0.43,0.45104,3.0,16.72898,15
2024-10-01T10:25:05.60Z,47.4521375,11.0173335,1678.031,44.1,13.51,15.88,1.762,2.696,0.42,0.44491,3.0,17.0304,15
2024-10-01T10:25:05.80Z,47.4522166,11.0173694,1674.748,43.88,13.54,16.46,1.761,2.693,0.42,0.45108,3.0,17.15067,14
2024-10-01T10:25:06.00Z,47.4522954,11.0174053,1671.424,43.89,13.47,16.47,1.761,2.69,0.42,0.44188,3.0,17.0667,14
2024-10-01T10:25:06.20Z,47.4523743,11.0174411,1668.129,43.96,13.45,16.09,1.76,2.687,0.42,0.43992,3.0,17.01273,14
2024-10-01T10:25:06.40Z,47.4524531,11.017477,1664.964,43.81,13.61,15.6,1.759,2.682,0.43,0.44128,3.0,17.25289,15
2024-10-01T10:25:06.60Z,47.4525316,11.0175136,1661.855,43.54,13.98,15.68,1.758,2.678,0.4,0.39965,3.0,17.80255,14
2024-10-01T10:25:06.80Z,47.4526096,11.0175511,1658.691,43.29,14.31,15.97,1.756,2.675,0.39,0.37724,3.0,18.29184,14
2024-10-01T10:25:07.00Z,47.4526873,11.0175893,1655.524,43.17,14.53,16.01,1.753,2.671,0.39,0.37794,3.0,18.60765,14
2024-10-01T10:25:07.20Z,47.4527647,11.017628,1652.26,43.02,14.63,16.43,1.752,2.669,0.42,0.42133,3.0,18.78192,14
2024-10-01T10:25:07.40Z,47.452842,11.0176669,1648.991,42.9,14.73,16.51,1.75,2.666,0.4,0.41309,3.0,18.95457,14
2024-10-01T10:25:07.60Z,47.4529192,11.0177058,1645.742,42.95,14.76,16.48,1.748,2.662,0.4,0.41205,3.0,18.96018,15
2024-10-01T10:25:07.80Z,47.4529963,11.017745,1642.458,42.85,14.79,16.56,1.746,2.659,0.41,0.41389,3.0,19.04218,14
2024-10-01T10:25:08.00Z,47.4530733,11.0177846,1639.192,42.79,15.07,16.3,1.745,2.656,0.41,0.4142,3.0,19.39642,14
